Subject,TripletNumber,Rotation,MovementCondition,STL,Experiment,Retained,RetainedRaw,DistanceTraveled,RT,Go,NoGo
16,80,ccw,go,-4.287416053,IRLRotn,NaN,NaN,0.080384827,NaN,15,0
16,81,cw,go,8.798710288,IRLRotn,0.442496138,3.893395324,0.080021189,331,-15,0
16,83,ccw,go,-7.298951689,IRLRotn,0.656601967,-4.792506035,0.080338168,355,15,0
16,84,ccw,go,-0.558021954,IRLRotn,-9.347487759,5.216103381,0.080592396,357,15,0
16,86,cw,go,-0.084438935,IRLRotn,-1.080608523,0.091245432,0.081013547,338,-15,0
16,89,cw,go,1.155134911,IRLRotn,1.15022137,1.328660859,0.080671239,339,-15,0
16,91,ccw,go,-0.704290876,IRLRotn,-1.030304021,0.725633721,0.080750246,407,15,0
16,92,ccw,go,-5.306164642,IRLRotn,0.496035832,-2.632047795,0.080269388,475,15,0
16,94,cw,go,1.258341711,IRLRotn,3.402361121,4.281332915,0.080020111,343,-15,0
16,97,cw,go,3.904332942,IRLRotn,1.652972701,6.453755769,0.080624771,354,-15,0
16,99,ccw,go,-3.585599638,IRLRotn,1.752732915,-6.284598507,0.080616467,375,15,0
16,100,ccw,go,-0.735379889,IRLRotn,3.797122353,-2.792327415,0.08020475,334,15,0
16,102,cw,go,6.834099655,IRLRotn,0.771381831,5.271700302,0.080263251,346,-15,0
16,105,cw,go,6.553603616,IRLRotn,0.945784269,6.198295206,0.080119474,443,-15,0
16,107,ccw,go,-3.543544133,IRLRotn,0.718787042,-2.547053605,0.080157868,325,15,0
16,108,ccw,go,-0.699554579,IRLRotn,-2.037936533,1.425647834,0.080270561,348,15,0
16,110,cw,go,5.609909437,IRLRotn,0.606455121,3.402158306,0.080370479,419,-15,0
16,113,cw,go,7.035225205,IRLRotn,0.666050793,4.685817327,0.080128991,388,-15,0
16,115,ccw,go,-1.850157229,IRLRotn,0.493523332,-0.913095761,0.080411726,362,15,0
16,116,ccw,go,0.382331335,IRLRotn,-0.840482922,-0.321342957,0.080242822,357,15,0
16,118,cw,go,1.91822128,IRLRotn,1.464325377,2.808900098,0.080816652,353,-15,0
16,119,ccw,stop,0.835631835,IRLRotn,-0.577417729,-0.482508637,0.002979544,396,0,15
16,120,cw,stop,1.547899696,IRLRotn,NaN,NaN,0.002424956,NaN,0,-15
16,122,cw,go,0.525670795,IRLRotn,4.335177868,2.278876398,0.080258022,364,-15,0
16,124,ccw,go,-4.780257353,IRLRotn,0.554879101,-2.652464905,0.080341688,328,15,0
16,126,cw,go,3.700558768,IRLRotn,0.482741791,1.786414367,0.080670306,423,-15,0
16,128,ccw,go,-4.206813732,IRLRotn,0.642256535,-2.701853613,0.080204496,362,15,0
16,130,cw,go,1.376164651,IRLRotn,1.584307965,2.180268616,0.08076243,568,-15,0
16,132,ccw,go,-5.93589755,IRLRotn,0.553162108,-3.283513604,0.080128585,381,15,0
16,134,cw,go,2.029920481,IRLRotn,0.08727844,0.177168292,0.080119005,383,-15,0
16,135,cw,stop,0.573835076,IRLRotn,1.387951914,0.796455492,0.00122004,336,0,-15
16,136,ccw,go,-2.846952089,IRLRotn,1.194438426,-3.400508972,0.080179734,672,15,0
16,138,cw,go,5.471604994,IRLRotn,0.466100421,2.550317393,0.08060114,351,-15,0
16,140,ccw,go,-1.767780085,IRLRotn,0.944830784,-1.670253044,0.080115008,402,15,0
16,141,ccw,stop,0.561507765,IRLRotn,5.645888617,3.170210302,0.00343605,349,0,15
16,142,cw,go,-0.933990038,IRLRotn,-0.673160566,0.628725263,0.080343386,349,-15,0
16,144,ccw,go,-5.290831458,IRLRotn,0.6697472,-3.543519552,0.080116695,336,15,0
16,146,cw,go,2.070112082,IRLRotn,0.647990292,1.341412532,0.081295172,367,-15,0
16,148,ccw,go,-4.612375632,IRLRotn,1.164987499,-5.373359952,0.081096808,351,15,0
16,149,ccw,stop,3.233032827,IRLRotn,-0.01036454,-0.033508897,0.002569802,365,0,15
16,150,cw,go,2.816108398,IRLRotn,0.448162183,1.262073286,0.080073157,372,-15,0
16,151,cw,stop,1.232019383,IRLRotn,0.079826867,0.098348247,0.002306104,350,0,-15
16,152,ccw,go,-3.146105778,IRLRotn,0.571671866,-1.798540159,0.080131527,374,15,0
16,153,cw,stop,1.223208603,IRLRotn,-1.204047398,-1.472801136,0.000883803,597,0,-15
16,154,cw,go,5.912151322,IRLRotn,0.453674684,2.682193385,0.080520586,357,-15,0
16,156,ccw,go,-1.979289471,IRLRotn,2.200986212,-4.356388835,0.080180204,312,15,0
16,158,cw,go,5.384992803,IRLRotn,0.378244509,2.036843958,0.080340394,319,-15,0
17,1,ccw,go,-5.069738153,IRLRotn,1.574459421,-7.982096997,0.080881761,610,15,0
17,4,cw,go,4.161417404,IRLRotn,1.399413945,5.823545545,0.080096129,612,-15,0
17,7,ccw,stop,-1.782010103,IRLRotn,-0.057167043,0.101872248,0.001715876,455,0,15
17,8,cw,stop,0.338665877,IRLRotn,NaN,NaN,0.004320001,1992,0,-15
17,10,cw,go,5.869248314,IRLRotn,0.669838449,3.931448185,0.080759854,352,-15,0
17,11,cw,stop,0.518466007,IRLRotn,1.964826262,1.018695627,0.002508868,494,0,-15
17,12,cw,go,-0.23623573,IRLRotn,1.744376171,-0.412083977,0.080030622,432,-15,0
17,14,ccw,go,-4.033927781,IRLRotn,0.322307839,-1.300166546,0.08007312,324,15,0
17,17,ccw,go,-1.827238942,IRLRotn,3.10392228,-5.671607665,0.080285936,487,15,0
17,18,cw,go,4.884863014,IRLRotn,1.107864992,5.411768723,0.080120581,514,-15,0
17,19,cw,stop,0.540713372,IRLRotn,3.260720935,1.763115411,0.002696643,458,0,-15
17,20,cw,go,0.528948069,IRLRotn,-0.591376685,-0.312807555,0.080432089,327,-15,0
17,21,ccw,stop,2.030489324,IRLRotn,-0.621147258,-1.261232876,0.000885745,422,0,15
17,22,ccw,go,-3.299506734,IRLRotn,-0.54058603,1.783667246,0.08048579,433,15,0
17,23,ccw,stop,-2.240462064,IRLRotn,0.08182563,-0.183327221,0.002547175,721,0,15
17,25,ccw,go,-4.47700308,IRLRotn,0.619309595,-2.772650966,0.08020222,389,15,0
17,26,cw,go,3.631820512,IRLRotn,1.112644078,4.040923586,0.080451547,525,-15,0
