Subject_ID,triplet_number,Single_triplet_learning,Final_Triplet_Trial_HA,triplet_label,triplet_excluded,Retention_to_next_triplet,Retention_to_2_trials_out,go,nogo,go_1back,nogo_1back,go_SPE,go_1backSPE,Experiment,includeTrip,exptID,tripType,retRatio,includeSubj
0aAbx6ug,28,5.77342693688968,5.2174392597158,go_cw,False,11.1295966264931,NaN,15,0,NaN,NaN,37.6876726961165,NaN,Rotation_Online,1,1,3,1.92772797649517,0
0aAbx6ug,29,-7.11149971591399,6.97276928602642,stop_0,False,-1.54840917309727,-4.29109213833127,0,0,15,0,0,-37.6876726961165,Rotation_Online,1,1,5,0.217733141383985,0
0aAbx6ug,30,-6.67484225261242,8.08452099582212,go_0,False,0.142902355469715,16.5396009230522,0,0,0,0,4.15236170844372,-0,Rotation_Online,1,1,2,-0.0214090985316972,0
0aAbx6ug,31,0.199276703999772,1.06749968374021,go_ccw,True,-13.5694043183737,-10.2595697106001,NaN,NaN,0,0,NaN,-4.15236170844372,Rotation_Online,0,1,1,-68.0932795756662,0
0aAbx6ug,32,10.6405310143331,4.19564969178057,stop_0,True,10.6915569650094,27.0372821925374,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,5,1.00479543272864,0
0aAbx6ug,33,-0.794591801021909,4.93921554212619,go_ccw,False,0.795256090148598,NaN,-15,0,NaN,NaN,-27.2011014864237,NaN,Rotation_Online,1,1,1,-1.00083601306461,0
0aAbx6ug,34,-1.7142492020744,5.06361685303008,stop_ccw,False,-17.5050903886227,-1.00485341211393,0,-15,-15,0,0,27.2011014864237,Rotation_Online,1,1,4,10.2115202197206,0
0aAbx6ug,35,11.0432011715823,9.81125686799609,go_0,False,13.9293763011857,NaN,0,0,0,-15,4.35422106306962,-0,Rotation_Online,1,1,2,1.26135312440296,0
0aAbx6ug,36,8.3474837520707,-1.42240201367801,stop_cw,False,-4.81151354738987,23.9296157704986,0,15,0,0,0,-4.35422106306962,Rotation_Online,1,1,6,-0.576402864659222,0
0aAbx6ug,37,-3.44541102031906,15.1820063061016,go_ccw,False,4.14195191719114,-0.598293576817838,-15,0,0,15,-32.0045340321059,-0,Rotation_Online,1,1,1,-1.20216481945529,0
0aAbx6ug,38,1.12776132719131,6.46688204140011,go_0,True,2.72074694638661,NaN,NaN,NaN,-15,0,NaN,32.0045340321059,Rotation_Online,0,1,2,2.41252016786445,0
0aAbx6ug,39,-0.183352110354349,5.05724853255916,stop_ccw,False,1.71689633679961,NaN,0,-15,NaN,NaN,0,NaN,Rotation_Online,1,1,4,-9.36393005502641,0
0aAbx6ug,40,-6.68882228244735,9.84582236785255,stop_0,True,-4.10047480368399,2.3971536597947,NaN,NaN,0,-15,NaN,-0,Rotation_Online,0,1,5,0.613033899023505,0
0aAbx6ug,41,3.01633745453808,4.24113743455112,go_0,True,-6.85241349909435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,2,-2.27176620732037,0
0aAbx6ug,42,7.92127242494198,6.18861596324157,stop_cw,True,-3.76427136551729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,6,-0.475210441401384,0
0aAbx6ug,43,7.28945157873994,10.5847081749609,stop_0,False,13.6572169245323,3.18055137597156,0,0,NaN,NaN,0,NaN,Rotation_Online,1,1,5,1.87355890590786,0
0aAbx6ug,44,0.205365228323927,4.01157760084462,go_cw,False,-6.23714095661492,9.77993912568721,15,0,0,0,29.6936083777292,-0,Rotation_Online,1,1,3,-30.3709688710152,0
0aAbx6ug,45,-0.855848688236762,11.3099324740202,go_ccw,False,0.496013187322518,-7.76140020596472,-15,0,15,0,-20.5629962965187,-29.6936083777292,Rotation_Online,1,1,1,-0.579557104123645,0
0aAbx6ug,46,10.1031228949325,-0.14505229647159,stop_cw,True,3.08663974598247,NaN,NaN,NaN,-15,0,NaN,20.5629962965187,Rotation_Online,0,1,6,0.305513431647025,0
0aAbx6ug,47,-6.19578112328739,13.0672119757659,stop_ccw,True,1.05070660695347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,4,-0.169584203516211,0
0aAbx6ug,48,3.06949662804786,2.75122761747716,stop_0,True,4.42354321822862,-10.8960739657649,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,5,1.44112985100163,0
0aAbx6ug,49,-2.33070240226564,3.72788342956204,go_cw,False,-3.52523715983961,5.15076944487711,15,0,NaN,NaN,31.7167982112899,NaN,Rotation_Online,1,1,3,1.51252135682907,0
0aAbx6ug,50,0.0464319746738511,4.87598621246215,go_0,False,-6.80269382802911,10.0284975174006,0,0,15,0,-3.75358841758077,-31.7167982112899,Rotation_Online,1,1,2,-146.508820178612,0
0aAbx6ug,51,4.75841949283429,6.96669252233082,go_ccw,False,4.97953236768228,NaN,-15,0,0,0,-20.1060793302646,3.75358841758077,Rotation_Online,1,1,1,1.04646771374003,0
0aAbx6ug,52,2.93150481319245,3.81407483429038,stop_cw,True,4.29154797295573,NaN,NaN,NaN,-15,0,NaN,20.1060793302646,Rotation_Online,0,1,6,1.46394027860462,0
0aAbx6ug,53,-1.30015212285201,3.75418379737911,stop_ccw,False,-7.60918183041466,-16.0928219829725,0,-15,NaN,NaN,0,NaN,Rotation_Online,1,1,4,5.85253194351071,0
0aAbx6ug,54,16.8742382435892,-6.81102473864743,go_cw,True,7.07893136134834,NaN,NaN,NaN,0,-15,NaN,-0,Rotation_Online,0,1,3,0.419511166024798,0
0aAbx6ug,55,-6.79812488821386,9.78240703180728,stop_0,False,-5.588716220018,7.14397668926293,0,0,NaN,NaN,0,NaN,Rotation_Online,1,1,5,0.822096726952949,0
0aAbx6ug,56,-7.93606363176116,16.5090619953726,go_ccw,True,6.51060663853161,NaN,NaN,NaN,0,0,NaN,-0,Rotation_Online,0,1,1,-0.820382363427042,0
0aAbx6ug,57,-11.0934508938853,13.1558426189651,stop_cw,False,-1.82050683528388,NaN,0,15,NaN,NaN,0,NaN,Rotation_Online,1,1,6,0.1641064491742,0
0aAbx6ug,58,-5.75076219048933,9.63366075085301,stop_ccw,False,-2.84914878233693,-19.5057903401964,0,-15,0,15,0,-0,Rotation_Online,1,1,4,0.495438463278638,0
0aAbx6ug,59,2.56737469083464,4.16467265186597,go_cw,False,-0.645371688490286,-3.22602325576034,15,0,0,-15,38.3886889005601,-0,Rotation_Online,1,1,3,-0.251374172532829,0
0aAbx6ug,60,-5.9713080820965,13.3487271132874,go_0,True,3.26672019553831,13.6608160675677,NaN,NaN,15,0,NaN,-38.3886889005601,Rotation_Online,0,1,2,-0.547069444521339,0
0aAbx6ug,61,-3.980079036337,8.09077787198959,stop_ccw,True,-3.2336004538501,18.4698331747327,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,4,0.81244629172643,0
0aAbx6ug,62,-0.233127799705159,7.57742708920784,go_ccw,True,-5.29328053294913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,1,22.7054883186117,0
0aAbx6ug,63,10.5337828756007,2.10379694685108,stop_0,False,6.08339923205901,-4.24470262055891,0,0,NaN,NaN,0,NaN,Rotation_Online,1,1,5,0.577513254630481,0
0aAbx6ug,64,0.927434875252032,5.62674571514077,go_cw,False,6.5541805903928,-4.16560163500807,15,0,0,0,31.8822824430107,-0,Rotation_Online,1,1,3,7.0669981960854,0
0aAbx6ug,65,-4.70785224437225,4.70785224437225,go_0,False,-3.87852450284768,NaN,0,0,15,0,10.7197822254009,-31.8822824430107,Rotation_Online,1,1,2,0.823841595174117,0
0aAbx6ug,66,1.16450346574842,2.71402103709926,stop_cw,True,-1.36717578226484,-2.11686230122774,NaN,NaN,0,0,NaN,-10.7197822254009,Rotation_Online,0,1,6,-1.17404183197184,0
0aAbx6ug,67,0.998857678089053,4.24684260702347,stop_0,True,0.510797488237557,13.8427874044174,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,5,0.511381650702011,0
0aAbx6ug,68,3.20922578449373,1.52567701238124,go_ccw,False,1.78731672060681,-8.10853452841022,-15,0,NaN,NaN,-23.5970871193049,NaN,Rotation_Online,1,1,1,0.556930811550478,0
0aAbx6ug,69,10.2631113806644,-7.31552530439629,go_cw,False,0.207561396766152,-14.4137885819074,15,0,-15,0,27.8434373252852,23.5970871193049,Rotation_Online,1,1,3,0.0202240226250682,0
0aAbx6ug,70,-2.3138013705624,5.0538260500644,stop_cw,True,-0.674529799867798,NaN,NaN,NaN,15,0,NaN,-27.8434373252852,Rotation_Online,0,1,6,0.291524505279312,0
0aAbx6ug,71,4.78938925993921,-1.37483478056942,stop_ccw,False,3.70247054592687,1.8380044241861,0,-15,NaN,NaN,0,NaN,Rotation_Online,1,1,4,0.773056927507676,0
0aAbx6ug,72,-3.94634909824953,3.65843303169245,go_0,False,-6.172275854818,NaN,0,0,0,-15,1.57655005518373,-0,Rotation_Online,1,1,2,1.5640470980015,0
0aAbx6ug,73,0.438032593573922,5.446327194687,stop_cw,True,6.56480023799446,-11.6839141002513,NaN,NaN,0,0,NaN,-1.57655005518373,Rotation_Online,0,1,6,14.9870131453736,0
0aAbx6ug,74,-0.532389669389232,-0.148050780344306,go_cw,False,-5.16966038900836,5.06615448203505,15,0,NaN,NaN,32.5682738885123,NaN,Rotation_Online,1,1,3,9.71029433185488,0
0aAbx6ug,75,5.22562899473414,-0.736409055459319,go_ccw,True,-5.6591139678186,NaN,NaN,NaN,15,0,NaN,-32.5682738885123,Rotation_Online,0,1,1,-1.08295364510594,0
0aAbx6ug,76,-1.89221715060097,12.0405510576944,stop_0,True,4.54379484470331,4.20147085311987,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,5,-2.40130729354197,0
0aAbx6ug,77,8.49905175474763,-2.89451269235752,go_0,True,0.610795076566689,13.6773209363809,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,2,0.0718662615774159,0
0aAbx6ug,78,-5.42008148516578,10.4138254709892,go_ccw,False,-0.574597853443777,6.97739131501294,-15,0,NaN,NaN,-23.0727818739908,NaN,Rotation_Online,1,1,1,0.106012770290704,0
0aAbx6ug,79,5.72618105296908,-0.157839213701891,stop_ccw,True,-3.68427735408926,-16.3970766507879,NaN,NaN,-15,0,NaN,23.0727818739908,Rotation_Online,0,1,4,-0.643409162233689,0
0aAbx6ug,80,-3.11387795985834,12.3664971532148,stop_cw,True,2.2129914243273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,6,-0.710686627046865,0
0aAbx6ug,81,-0.0516454862984403,7.09127325532759,stop_ccw,True,-2.04459315567226,-8.64406029891126,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,4,39.5889999729561,0
0aAbx6ug,82,5.32566523922941,3.758555685472,go_cw,False,5.30875510041156,NaN,15,0,NaN,NaN,30.6836880679404,NaN,Rotation_Online,1,1,3,0.996824783748462,0
0aAbx6ug,83,4.89876853836526,-1.12330271407541,stop_0,False,-2.50183266530775,NaN,0,0,15,0,0,-30.6836880679404,Rotation_Online,1,1,5,-0.510706445041108,0
0aAbx6ug,84,4.69348691873563,1.58381157086197,stop_0,False,-0.20221402613268,NaN,0,0,0,0,0,-0,Rotation_Online,1,1,5,-0.043083964999556,0
0aAbx6ug,85,7.23336084880111,-0.753848333070835,stop_ccw,False,3.42293206758083,7.89743534718139,0,-15,0,0,0,-0,Rotation_Online,1,1,4,0.473214614773181,0
0aAbx6ug,86,-4.06843590075238,7.12501634890182,go_0,False,0.305352830672291,-6.13430760783586,0,0,0,-15,-1.41792283145116,-0,Rotation_Online,1,1,2,-0.0750541087831375,0
0aAbx6ug,87,2.14301501265098,0.608212604826178,go_cw,False,-3.80412967092568,NaN,15,0,0,0,24.1908880559853,1.41792283145116,Rotation_Online,1,1,3,-1.7751297347282,0
0aAbx6ug,88,1.52628370661739,5.02907358178544,stop_cw,False,8.08696508041388,5.51373061239281,0,15,15,0,0,-24.1908880559853,Rotation_Online,1,1,6,5.29846780474157,0
0aAbx6ug,89,-11.5395875934524,10.0079798014413,go_0,False,-13.8754283028347,2.5241725089214,0,0,0,15,1.04162667600997,-0,Rotation_Online,1,1,2,1.20241977371078,0
0aAbx6ug,90,12.2375204852687,0.10630002555493,go_ccw,False,NaN,NaN,-15,0,0,0,-19.0557803009325,-1.04162667600997,Rotation_Online,1,1,1,NaN,0
1bEsoYX9,1,-0.687948240162541,-2.09721818195175,go_cw,True,-6.09610793672573,12.0595608427939,NaN,NaN,0,0,NaN,-0,Rotation_Online,0,1,3,8.86128865637538,0
1bEsoYX9,2,3.62924812606281,-0.318306611451362,go_ccw,False,3.31094151461144,5.98083127661909,-15,0,NaN,NaN,-29.8447272649081,NaN,Rotation_Online,1,1,1,0.91229406191175,0
1bEsoYX9,3,1.0809241866607,-1.0809241866607,go_0,True,17.533516186061,NaN,NaN,NaN,-15,0,NaN,29.8447272649081,Rotation_Online,0,1,2,16.2208565618532,0
1bEsoYX9,4,-8.08937734128176,-9.44413884477922,stop_0,True,-1.04906299652532,-25.4466207759873,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,5,0.129684022918765,0
1bEsoYX9,5,-5.71782647783704,-10.7666267116986,go_cw,False,-7.16086141139766,-4.75539300875431,15,0,NaN,NaN,22.9131045899263,NaN,Rotation_Online,1,1,3,1.25237473350302,0
1bEsoYX9,6,-15.2834308888511,5.95983911071306,go_0,False,-0.268929944888953,NaN,0,0,15,0,-11.7290601807813,-22.9131045899263,Rotation_Online,1,1,2,0.0175961763327063,0
1bEsoYX9,7,9.03924471081416,-18.0939065440632,stop_ccw,False,5.33508694191551,NaN,0,-15,0,0,0,11.7290601807813,Rotation_Online,1,1,4,0.590213796904164,0
1bEsoYX9,8,1.83365710743459,-16.2234058825991,stop_0,False,-4.64610748812737,-18.6099670090755,0,0,0,-15,0,-0,Rotation_Online,1,1,5,-2.53379296995587,0
1bEsoYX9,9,-1.52266544918569,-8.22097583785148,go_cw,False,3.71387661528149,-2.87866451201717,15,0,0,0,19.2202182339109,-0,Rotation_Online,1,1,3,-2.43906277460202,0
1bEsoYX9,10,-9.95398625753421,-3.50353164478446,go_0,False,-5.42876410905137,NaN,0,0,15,0,-6.86497677502001,-19.2202182339109,Rotation_Online,1,1,2,0.545385935704132,0
1bEsoYX9,11,7.48121708049837,-15.5099708737657,stop_cw,True,-2.21777393498866,NaN,NaN,NaN,0,0,NaN,6.86497677502001,Rotation_Online,0,1,6,-0.296445606527022,0
1bEsoYX9,12,-4.34217914389285,-1.46880071438579,stop_0,True,7.84113056494829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rotation_Online,0,1,5,-1.80580540440774,0
