Subject,Rotation,MovementCondition,STL,Experiment,Retention,RetentionRaw,STLRightWay,STLWrongWay
1,15,go,-5.9518883822233,IRLRotn,0.553323809170011,-2.40637932201761,-6.12658045891564,2.86366025187735
1,15,nogo,-3.11774489836217,IRLRotn,0.344657749091522,-0.837109472345787,-6.2069769630959,5.14603742571833
1,-15,go,7.72479482975793,IRLRotn,0.588485365101935,4.04426249975376,9.6020298970043,-2.6829218996157
1,-15,nogo,0.267232996273993,IRLRotn,0.234547227512607,-3.96770676747129,1.75481757201783,-4.4030501445868
2,15,go,-4.59541073776185,IRLRotn,0.75290974633853,-2.79550291794721,-4.69431605997348,1.5319802321793
2,15,nogo,-1.55169679631318,IRLRotn,0.284427661999921,-2.91634590800207,-2.79893354491362,2.13037336072255
2,-15,go,4.75912682174478,IRLRotn,0.679450570310107,3.61710402325301,5.65266956570935,-1.03292606785273
2,-15,nogo,2.33388641362465,IRLRotn,0.322879932655227,0.472153573541085,2.70321601317207,-2.98925229630601
3,15,go,-4.16893668074789,IRLRotn,0.646879621461598,-2.09255095048321,-4.54936600246278,2.84296260706626
3,15,nogo,0.192949573527244,IRLRotn,0.850497892950229,-1.14738289282687,-3.33742384013726,1.65136679633318
3,-15,go,3.18630330815938,IRLRotn,0.507433161665174,3.24793976378265,3.984367386092,-1.59838840906573
3,-15,nogo,0.824533860536334,IRLRotn,0.999283826383409,-1.25668221495091,3.13283427213594,-1.26519147071355
4,15,go,-1.57831435037805,IRLRotn,0.534448510468463,-0.179335528704783,-2.89227579636356,2.0435676839172
4,15,nogo,-0.859875837806499,IRLRotn,0.744497351946781,-2.24480988802834,-4.28774698594438,2.01329758653675
4,-15,go,3.52750451646992,IRLRotn,0.586894029439705,1.13189997050218,5.09264438111968,-3.34758795418004
4,-15,nogo,1.8723992612623,IRLRotn,0.609539673052354,-0.179641626233263,2.5249315949097,-2.84619543503217
5,15,go,-5.11341189199387,IRLRotn,0.708604405947178,-5.03940782730139,-5.43333752473878,0.632615105546691
5,15,nogo,-1.67455875664164,IRLRotn,0.772224545171662,-2.55954421804034,-2.84140926795662,2.37154576372454
5,-15,go,3.99912651617194,IRLRotn,0.81879506506728,3.18310342761174,5.0472942579438,-1.46540164379283
5,-15,nogo,3.80458352999648,IRLRotn,0.408971344786426,1.54353396100376,4.41825462401363,-3.31720960360282
6,15,go,-0.713777778482779,IRLRotn,0.458123954092682,-0.664799470716282,-2.61545661693293,0.992996649123533
6,15,nogo,0.464271355830547,IRLRotn,-0.0221673231051704,0.0057727049942855,-2.69964466234376,2.53659615537779
6,-15,go,2.09127277361105,IRLRotn,0.407740587032008,1.00240639045352,3.20359853801979,-0.892156203247069
6,-15,nogo,1.54264222227153,IRLRotn,0.733075589366841,1.62870511813924,1.83456056436866,-2.73072215112963
7,15,go,-2.16502982784326,IRLRotn,0.708626544493573,-2.23952184998586,-2.83445353235793,0.963903322487511
7,15,nogo,-1.56377217424017,IRLRotn,0.430272939238609,-1.22700844671553,-3.30595761133776,0.660814011015859
7,-15,go,3.92610899546094,IRLRotn,0.705127705285513,2.45200737117892,4.02275899334997,-0.769125705764395
7,-15,nogo,-0.464035845089583,IRLRotn,0.613837877669455,0.42163420754396,4.07877608342834,-1.33311041118294
8,15,go,-2.89743091496006,IRLRotn,0.755629688575981,-1.43497290935126,-3.06465635884097,1.11609096273227
8,15,nogo,-0.14177559032214,IRLRotn,0.835417368643115,0.240942191327136,-0.526145482870806,2.18762215842262
8,-15,go,3.10599701121709,IRLRotn,0.855108855965735,2.76172054473334,3.220995600819,-0.540345330525248
8,-15,nogo,-0.187000490538271,IRLRotn,1.20185370708419,0.229541501636032,1.17603587128874,-1.2780119257209
9,15,go,-3.65685520264552,IRLRotn,1.13682638525949,-3.83486188984281,-4.06247206638482,1.74367395641489
9,15,nogo,0.418562050186218,IRLRotn,0.320453944542844,0.621594579809159,-4.53529973193597,3.43829220643767
9,-15,go,2.55204790976804,IRLRotn,0.639208155252687,2.39872692083991,4.28546764131073,-1.5535784841738
9,-15,nogo,0.649495714690026,IRLRotn,0.25973830064549,-0.391836807034906,2.12236206233944,-2.8604560442393
10,15,go,-6.07947436831221,IRLRotn,0.588574911748165,-3.91427304447623,-6.77289000115231,2.3839703883573
10,15,nogo,-4.18686404127058,IRLRotn,0.597588114782646,-3.58316163624967,-4.38599671366089,1.30432160141164
10,-15,go,3.99452086167946,IRLRotn,0.796917533836073,2.29063672465527,4.43700748150595,-1.03319985468476
10,-15,nogo,2.5360795663197,IRLRotn,0.492575012404127,0.591074652561414,4.7072911029879,-3.49977116572715
11,15,go,-2.74818402931717,IRLRotn,0.74065839291421,-2.31078702669888,-5.79369628924083,1.67996757049454
11,15,nogo,-1.2681477970076,IRLRotn,1.10923418606782,-0.119390612723834,-1.62392182317177,2.35933315810014
11,-15,go,4.47416150576456,IRLRotn,0.877953866266785,4.60408124381047,4.71746056185296,-2.82709005657109
11,-15,nogo,1.77600089761836,IRLRotn,0.613333422707586,-1.1545632123314,2.29712330393981,-0.800782595119557
12,15,go,-2.88343692938665,IRLRotn,0.835250537061074,-2.11608437801277,-2.99969502540067,1.83912832035826
12,15,nogo,1.15218364542064,IRLRotn,0.922929542067866,0.670178446710242,-1.44923922184614,2.03964335649815
12,-15,go,2.1583233621747,IRLRotn,0.77785636090749,1.72139447118893,2.53184654675351,-2.30913420135488
12,-15,nogo,1.23704206248061,IRLRotn,0.706467267299027,1.98140474370343,1.91750076068126,-1.38360472345319
